trivia_3668,"In which country is the European Court of Human Rights?","France",supported,0.95,"https://www.britannica.com/topic/European-Court-of-Human-Rights","headquartered in Strasbourg, France",""
trivia_5158,"In Australia, what is known as a ""Laughing Jackass""?","Kookaburra",supported,0.9,"https://earthlife.net/laughing-kookaburras/","nicknames, the “Laughing Jackass”,"""
trivia_797,"What is the lightest metal under standard conditions?","Lithium",supported,0.95,"https://www.thoughtco.com/what-is-the-lightest-metal-608450","Lithium is the lightest pure metal",""
trivia_5925,"Which shocking fish is also known as a torpedo?","electric ray",supported,0.8,"https://en.wikipedia.org/wiki/Electric_ray","order Torpediniformes",""
trivia_4371,"Where was the siege of the Alamo?","San Antonio, Texas; San Antonio de Béxar, Mexican Texas; The Alamo Mission in San Antonio",supported,0.9,"https://en.wikipedia.org/wiki/Siege_of_the_Alamo","entered San Antonio de Béxar, Texas, and surrounded the Alamo Mission",""
nq_799,"who won the champions league final in 2016?","Real Madrid; Lyon",unsupported,0.9,"https://www.espn.com/soccer/report/_/gameId/447229","Real Madrid earned Europe’s biggest club trophy ... defeating Atletico Madrid",""
trivia_1345,"In the UK, the LTA is the governing body of which sport?","tennis",supported,0.95,"https://www.lta.org.uk/","The governing body of tennis in Great Britain",""
trivia_1441,"British actor Maurice Micklewhite is better known by what name?","Michael Caine",supported,0.95,"https://en.wikipedia.org/wiki/Michael_Caine","Michael Caine (born Maurice Joseph Micklewhite)",""
trivia_6006,"What is the title of the last Harry Potter novel, published in 2007?","Harry Potter and the Deathly Hallows",supported,0.95,"https://en.wikipedia.org/wiki/Harry_Potter_and_the_Deathly_Hallows","seventh and final novel ... released on 21 July 2007",""
webq_1282,"where did kate gosselin grew up?","Reading, Pennsylvania; Lancaster County, Pennsylvania",unsupported,0.6,"https://www.tvinsider.com/people/kate-gosselin/","born ... in Philadelphia, and raised in Hershey, PA",""
nq_3025,"who does april end up with on parks and rec?","Andy Dwyer",supported,0.9,"https://en.wikipedia.org/wiki/Andy_Dwyer","Andy remains married to April Ludgate",""
trivia_7203,"What German battleship was sunk in December 1943 during the Battle of the North Cape, by HMS Duke of York and her escorts?","Scharnhorst",supported,0.95,"https://en.wikipedia.org/wiki/German_battleship_Scharnhorst","HMS Duke of York and her escorts sank Scharnhorst",""
nq_348,"who plays the mouse in alice in wonderland?","Barbara Windsor; James MacDonald; Dudley Moore",supported,0.55,"https://www.imdb.com/title/tt1014759/characters/nm0934774;https://m.imdb.com/title/tt0043274/characters/nm0531763/?ref_=tt_cl_c_15;https://en.wikipedia.org/wiki/The_Dormouse","Barbara Windsor as Dormouse; James MacDonald as Dormouse; portrayed by Dudley Moore",""
webq_1723,"what are some good books like looking for alaska?","The Perks of Being a Wallflower (Stephen Chbosky); Paper Towns (John Green); The Fault in Our Stars (John Green); All the Bright Places (Jennifer Niven); We Were Liars (E. Lockhart); It's Kind of a Funny Story (Ned Vizzini); Jellicoe Road (Melina Marchetta); Winger (Andrew Smith)",unknown,0.4,"https://www.meetnewbooks.com/suggest-book/40339/Looking-for-Alaska-John-Green","Page 1 results: Paper Towns, The Perks of Being a Wallflower, The Fault in Our Stars, All the Bright Places, It’s Kind of a Funny Story, We Were Liars",""
trivia_7757,"""Call me Ishmael"" are the opening words of which work of literature?","Moby-Dick",supported,0.95,"https://en.wikipedia.org/wiki/Ishmael_(Moby-Dick)","Moby-Dick ... opens with the line \"Call me Ishmael.\"",""
webq_166,"who plays donna noble?","Catherine Tate",supported,0.95,"https://en.wikipedia.org/wiki/Donna_Noble","Portrayed by British actress and comedian Catherine Tate",""
trivia_6315,"Whose first solo UK number 1 single was I Only Have Eyes for You in September 1975?","Art Garfunkel",supported,0.6,"https://en.wikipedia.org/wiki/Breakaway_(Art_Garfunkel_album)","\"I Only Have Eyes for You\" (US #18, UK #1)",""
webq_235,"what countries does the panama canal go through?","Panama",supported,0.95,"https://www.britannica.com/topic/Panama-Canal","connects the Atlantic and Pacific oceans through the narrow Isthmus of Panama",""
nq_1879,"when did the word of wisdom become mandatory?","1851—sustained as a commandment at general conference under Brigham Young; 1915—First Presidency directed that temple recommends be limited to those observing the Word of Wisdom; 1921—Heber J. Grant and the First Presidency made full observance a universal requirement for temple recommends",unknown,0.35,"https://saintsunscripted.com/faith-and-beliefs/the-commandments/lds-interpretation-of-the-word-of-wisdom-changed-over-time/","In 1921 ... adherence to the Word of Wisdom became a prerequisite for entering the temple",""
trivia_3985,"From her first US film musical ""Down Argentina Way"" (1940), who became famous for extravagant hats, jewellery and dresses?","Carmen Miranda",supported,0.85,"https://www.britannica.com/topic/Down-Argentine-Way","her American film debut in Down Argentine Way (1940)",""
trivia_6411,"Which single word connects 'The Spanish Armada, and the TV series 'The Worker'?","Drake",supported,0.6,"https://en.wikipedia.org/wiki/The_Worker_(TV_series)","Co-written by and starring comedian Charlie Drake",""
