trivia_5130,"A mill in Woodbridge, Suffolk, England, built in the 12th century, reconstructed in 1792, further restored in 2010 and currently in full working order is a early English example of a mill powered by what?",tidal power,supported,0.95,https://infolink.suffolk.gov.uk/kb5/suffolk/infolink/service.page?id=gQaYfOY1cgs,students can see tidal power in action,
trivia_4311,What name is given to a positive whole number that can only be divided by 1 or itself?,prime number,supported,0.95,https://thirdspacelearning.com/blog/what-is-a-prime-number/,A prime number is a whole number greater than 1 with only two factors – itself and 1,
webq_1972,what movies gerard butler has been in?,300; Olympus Has Fallen; London Has Fallen; Angel Has Fallen; The Phantom of the Opera; Law Abiding Citizen; P.S. I Love You; The Ugly Truth; How to Train Your Dragon; Den of Thieves; Geostorm; Greenland,unknown,0.4,https://en.wikipedia.org/wiki/Gerard_Butler_filmography,Gerard Butler filmography lists numerous films including 300 and Law Abiding Citizen,
trivia_4045,"Which bird, that breeds in northern Europe in pine and beech forests, has a chestnut brown back, grey head, dark tail, buff breast and a striped black throat?",Fieldfare,supported,0.9,https://en.wikipedia.org/wiki/Fieldfare,dark chestnut-brown back... grey head... brownish-black tail... buff breast with bold streaks,
trivia_6276,"Which car company has manufactured models called Baleno, Alto and Vitara?",Suzuki,supported,0.7,https://en.wikipedia.org/wiki/Maruti_Suzuki,Maruti Suzuki currently sells ... Baleno ... Grand Vitara,
nq_1754,who sing say you wo n 't let go?,James Arthur,supported,0.95,https://en.wikipedia.org/wiki/Say_You_Won%27t_Let_Go,"""Say You Won't Let Go"" is a song by English singer and songwriter James Arthur",
trivia_9684,In which book of the Bible would you find the death of Moses?,Deuteronomy,supported,0.9,https://enterthebible.org/passage/deuteronomy-341-12-the-death-of-moses/,The Book of Deuteronomy... comes to a close with the death of Moses,
webq_622,what countries have german as the official language?,Germany; Austria; Switzerland; Liechtenstein; Luxembourg; Belgium,supported,0.95,https://en.wikipedia.org/wiki/List_of_countries_and_territories_where_German_is_an_official_language,"Germany, Austria, Belgium, Liechtenstein, Luxembourg, and Switzerland",
trivia_6432,"What was the middle name of Senator Edward M Kennedy, who died in August 2009?",Moore,supported,0.9,https://www.nps.gov/articles/000/edward-moore-kennedy-a-legacy-of-public-service.htm,They named their son Edward Moore Kennedy,
trivia_440,What name is given to the home of a beaver?,lodge; bank den,supported,0.9,https://forestry.mgcafe.uky.edu/beaver_damage,Home to a beaver is its lodge or bank den,
trivia_5720,What U.S. state was an independent country between 1836 and 1846?,Texas,supported,0.95,https://en.wikipedia.org/wiki/Republic_of_Texas,"The Republic of Texas... sovereign country... from March 2, 1836, to February 19, 1846",
trivia_4810,"In Charles Dickens' ""Great Expectations"", who or what was Abel Magwitch?""","an escaped convict whom Pip helps as a child; Pip’s secret benefactor who funds his great expectations; Estella’s father, a transported felon who made his fortune in Australia",supported,0.7,https://classic-literature.fandom.com/wiki/Abel_Magwitch,escaped convict... becomes Pip’s benefactor... father of Estella,
trivia_8813,"Also containing Garlic and salt, what is the name of the Greek appetiser, the primary ingredients of which are yoghurt and cucumber?",Tzatziki,supported,0.95,https://cookieandkate.com/how-to-make-tzatziki/,Tzatziki is made with yogurt and cucumber,
nq_137,when was catch me if you can made?,2002; 1989,unsupported,0.6,https://en.wikipedia.org/wiki/Catch_Me_If_You_Can,"The film opened on December 25, 2002",
trivia_593,What was the name of the cat in Rising Damp?,Vienna,supported,0.9,https://rising-damp-tv-series.fandom.com/wiki/Vienna,Vienna is Rigsby’s cat,
trivia_4363,"Acccording to the English nursey rhyme, what did little Jack Horner pull out of a pie?",a plum,supported,0.95,https://www.poetryfoundation.org/poems/46973/little-jack-horner-56d2271c5917a,"He put in his thumb, And pulled out a plum",
nq_1254,what was hawaii 's primary export to the united states?,sugar; pineapple,supported,0.55,https://en.wikipedia.org/wiki/Agriculture_in_Hawaii,The sugar grown and processed in Hawaiʻi was shipped primarily to the United States,
webq_1345,what two states is st louis in?,Missouri and Illinois; Missouri,supported,0.7,https://en.wikipedia.org/wiki/St._Louis,St. Louis is an independent city on the eastern edge of Missouri... metro area extends into Illinois,
trivia_5885,On which island is Reina Sofia Airport?,Tenerife,supported,0.95,https://en.wikipedia.org/wiki/Tenerife_South_Airport,Tenerife South–Reina Sofía Airport ... located on the island of Tenerife,
trivia_4419,"In the original British series of ""Who Wants To Be A Millionaire"", question 8 was worth what amount?""","£8,000",supported,0.9,https://millionaire.fandom.com/wiki/Money_Tree,"Question 8: £8,000",
webq_467,what language brazil speak?,Portuguese,supported,0.95,https://en.wikipedia.org/wiki/Languages_of_Brazil,Portuguese is the official and national language of Brazil,
trivia_250,Who was king of France at the time of the French Revolution?,Louis XVI,supported,0.95,https://www.britannica.com/biography/Louis-XVI,"Louis XVI, the last king of France... preceding the French Revolution of 1789",
nq_846,who are the artists in the traveling wilburys?,George Harrison; Jeff Lynne; Roy Orbison; Tom Petty; Bob Dylan,supported,0.95,https://en.wikipedia.org/wiki/Traveling_Wilburys,"consisting of Bob Dylan, George Harrison, Jeff Lynne, Roy Orbison, and Tom Petty",
