dataset,N1_min_pos,N2_min_neg,num_prompts_kept,num_prompts_total,frac_kept
mt_mqm,0,0,1180,1180,1.0
mt_mqm,0,1,907,1180,0.7686440677966102
mt_mqm,0,2,550,1180,0.4661016949152542
mt_mqm,0,3,443,1180,0.37542372881355934
mt_mqm,0,5,372,1180,0.3152542372881356
mt_mqm,0,10,122,1180,0.10338983050847457
mt_mqm,1,0,956,1180,0.8101694915254237
mt_mqm,1,1,683,1180,0.5788135593220339
mt_mqm,1,2,477,1180,0.40423728813559323
mt_mqm,1,3,441,1180,0.373728813559322
mt_mqm,1,5,371,1180,0.31440677966101693
mt_mqm,1,10,121,1180,0.10254237288135593
mt_mqm,2,0,711,1180,0.6025423728813559
mt_mqm,2,1,492,1180,0.41694915254237286
mt_mqm,2,2,476,1180,0.4033898305084746
mt_mqm,2,3,440,1180,0.3728813559322034
mt_mqm,2,5,370,1180,0.3135593220338983
mt_mqm,2,10,120,1180,0.1016949152542373
mt_mqm,3,0,498,1180,0.42203389830508475
mt_mqm,3,1,487,1180,0.41271186440677965
mt_mqm,3,2,471,1180,0.39915254237288134
mt_mqm,3,3,435,1180,0.3686440677966102
mt_mqm,3,5,365,1180,0.3093220338983051
mt_mqm,3,10,115,1180,0.09745762711864407
mt_mqm,5,0,469,1180,0.3974576271186441
mt_mqm,5,1,458,1180,0.38813559322033897
mt_mqm,5,2,442,1180,0.37457627118644066
mt_mqm,5,3,406,1180,0.3440677966101695
mt_mqm,5,5,336,1180,0.2847457627118644
mt_mqm,5,10,86,1180,0.07288135593220339
mt_mqm,10,0,280,1180,0.23728813559322035
mt_mqm,10,1,269,1180,0.22796610169491524
mt_mqm,10,2,253,1180,0.21440677966101696
mt_mqm,10,3,217,1180,0.18389830508474575
mt_mqm,10,5,147,1180,0.12457627118644068
mt_mqm,10,10,0,1180,0.0
qa_challenge300,0,0,300,300,1.0
qa_challenge300,0,1,201,300,0.67
qa_challenge300,0,2,113,300,0.37666666666666665
qa_challenge300,0,3,69,300,0.23
qa_challenge300,0,5,19,300,0.06333333333333334
qa_challenge300,0,10,0,300,0.0
qa_challenge300,1,0,277,300,0.9233333333333333
qa_challenge300,1,1,178,300,0.5933333333333334
qa_challenge300,1,2,91,300,0.30333333333333334
qa_challenge300,1,3,47,300,0.15666666666666668
qa_challenge300,1,5,0,300,0.0
qa_challenge300,1,10,0,300,0.0
qa_challenge300,2,0,254,300,0.8466666666666667
qa_challenge300,2,1,155,300,0.5166666666666667
qa_challenge300,2,2,70,300,0.23333333333333334
qa_challenge300,2,3,29,300,0.09666666666666666
qa_challenge300,2,5,0,300,0.0
qa_challenge300,2,10,0,300,0.0
qa_challenge300,3,0,214,300,0.7133333333333334
qa_challenge300,3,1,119,300,0.39666666666666667
qa_challenge300,3,2,34,300,0.11333333333333333
qa_challenge300,3,3,0,300,0.0
qa_challenge300,3,5,0,300,0.0
qa_challenge300,3,10,0,300,0.0
qa_challenge300,5,0,71,300,0.23666666666666666
qa_challenge300,5,1,0,300,0.0
qa_challenge300,5,2,0,300,0.0
qa_challenge300,5,3,0,300,0.0
qa_challenge300,5,5,0,300,0.0
qa_challenge300,5,10,0,300,0.0
qa_challenge300,10,0,0,300,0.0
qa_challenge300,10,1,0,300,0.0
qa_challenge300,10,2,0,300,0.0
qa_challenge300,10,3,0,300,0.0
qa_challenge300,10,5,0,300,0.0
qa_challenge300,10,10,0,300,0.0
qgen_quizdesign,0,0,452,452,1.0
qgen_quizdesign,0,1,411,452,0.9092920353982301
qgen_quizdesign,0,2,352,452,0.7787610619469026
qgen_quizdesign,0,3,279,452,0.6172566371681416
qgen_quizdesign,0,5,79,452,0.1747787610619469
qgen_quizdesign,0,10,0,452,0.0
qgen_quizdesign,1,0,437,452,0.9668141592920354
qgen_quizdesign,1,1,396,452,0.8761061946902655
qgen_quizdesign,1,2,337,452,0.745575221238938
qgen_quizdesign,1,3,264,452,0.584070796460177
qgen_quizdesign,1,5,67,452,0.14823008849557523
qgen_quizdesign,1,10,0,452,0.0
qgen_quizdesign,2,0,332,452,0.7345132743362832
qgen_quizdesign,2,1,294,452,0.6504424778761062
qgen_quizdesign,2,2,242,452,0.5353982300884956
qgen_quizdesign,2,3,183,452,0.40486725663716816
qgen_quizdesign,2,5,26,452,0.05752212389380531
qgen_quizdesign,2,10,0,452,0.0
qgen_quizdesign,3,0,198,452,0.43805309734513276
qgen_quizdesign,3,1,167,452,0.3694690265486726
qgen_quizdesign,3,2,133,452,0.2942477876106195
qgen_quizdesign,3,3,90,452,0.19911504424778761
qgen_quizdesign,3,5,0,452,0.0
qgen_quizdesign,3,10,0,452,0.0
qgen_quizdesign,5,0,49,452,0.1084070796460177
qgen_quizdesign,5,1,30,452,0.06637168141592921
qgen_quizdesign,5,2,11,452,0.024336283185840708
qgen_quizdesign,5,3,0,452,0.0
qgen_quizdesign,5,5,0,452,0.0
qgen_quizdesign,5,10,0,452,0.0
qgen_quizdesign,10,0,0,452,0.0
qgen_quizdesign,10,1,0,452,0.0
qgen_quizdesign,10,2,0,452,0.0
qgen_quizdesign,10,3,0,452,0.0
qgen_quizdesign,10,5,0,452,0.0
qgen_quizdesign,10,10,0,452,0.0
summ_gpt3_bbc,0,0,100,100,1.0
summ_gpt3_bbc,0,1,98,100,0.98
summ_gpt3_bbc,0,2,89,100,0.89
summ_gpt3_bbc,0,3,0,100,0.0
summ_gpt3_bbc,0,5,0,100,0.0
summ_gpt3_bbc,0,10,0,100,0.0
summ_gpt3_bbc,1,0,100,100,1.0
summ_gpt3_bbc,1,1,98,100,0.98
summ_gpt3_bbc,1,2,89,100,0.89
summ_gpt3_bbc,1,3,0,100,0.0
summ_gpt3_bbc,1,5,0,100,0.0
summ_gpt3_bbc,1,10,0,100,0.0
summ_gpt3_bbc,2,0,11,100,0.11
summ_gpt3_bbc,2,1,9,100,0.09
summ_gpt3_bbc,2,2,0,100,0.0
summ_gpt3_bbc,2,3,0,100,0.0
summ_gpt3_bbc,2,5,0,100,0.0
